Alumno/a;Nombre elegido (Alias);N_ id. Alumno;DNI/Pasaporte;N_ del expediente del centro;Curso;Unidad;Estado Matr_cula;A_o de la matr_cula;Fecha de matr_cula;N_ de matr_culas en este curso;Observaciones de la matr_cula;Sexo;Direcci_n;C_digo postal;Localidad de residencia;Provincia de residencia;Localidad de nacimiento;Provincia nacimiento;Pa_s de nacimiento;Fecha de nacimiento;Edad a 31/12 del a_o de matr_cula;Nacionalidad;Tel_fono;Tel_fono de urgencia;Correo Electr_nico;Primer apellido;Segundo apellido;Nombre;DNI/Pasaporte Primer tutor;Primer apellido Primer tutor;Segundo apellido Primer tutor;Nombre Primer tutor;Sexo Primer tutor;Tel_fono Primer tutor;Correo Primer tutor;DNI/Pasaporte Segundo tutor;Primer apellido Segundo tutor;Segundo apellido Segundo tutor;Nombre Segundo tutor;Sexo Segundo tutor;Tel_fono Segundo tutor;Correo Segundo tutor;NP;NSS
Ligia Roca Tur;Ligia;55966448;11303258T;305683;Cuarto;E;En trámite;2024;16/6/24;2;Sunt labore dignissimos facere.;F;Cuesta Micaela Castell 95, Melilla, 01580;23731;Cádiz;Guipúzcoa;Alicante;Vizcaya;Noruega;15/6/11;71;República Federal Democrática de Nepal;+34 820339260;34988638460;leonardobaena@example.com;Roca;Tur;Ligia;106-25-0596;Terrón;Santamaria;Adán;Mujer;+34980 33 59 65;josefina62@example.com;528-46-4436;Chico;Prat;Edelmiro;Hombre;+34 817512938;azaharabenet@example.org;72;123456789
José María Bueno Amorós;José María;55038113;86135871C;411871;Quinto;A;Solicitado;2024;10/5/24;2;Illo aut fugiat eos sapiente.;U;Callejón de Octavia Palau 730 Piso 3 , Santa Cruz de Tenerife, 29594;30832;Zaragoza;Melilla;Álava;Ciudad;Argentina;11/4/71;16;Burundi;34871207037;+34 825 777 253;valeraflorencio@example.com;Bueno;Amorós;José María;895-10-6482;Pacheco;Agullo;Florencio;Hombre;+34 976144063;osanmiguel@example.org;276-16-7289;Pujadas;Carrillo;Félix;Mujer;34963954596;izquierdocarlota@example.net;89;123456789
Evelia Sainz Beltran;Evelia;26818876;71130762L;342983;Quinto;E;Denegado;2024;30/1/24;3;Deserunt unde numquam natus quisquam dignissimos.;F;Callejón Vidal Calderón 7 Puerta 6 , Sevilla, 01034;20745;Asturias;Valencia;Navarra;Guadalajara;República Centroafricana;2/1/84;34;Suiza;+34849 15 74 47;+34 928 85 83 77;jordanpili@example.com;Sainz;Beltran;Evelia;066-97-8281;Martinez;Estrada;Sergio;Mujer;+34 871293448;german25@example.com;418-69-5627;Cantero;Piña;Adoración;Mujer;+34924 105 192;edu95@example.net;44;123456789
Loida Granados Calderon;Loida;17125785;04339908S;384755;Segundo;A;En trámite;2024;28/4/24;2;Enim occaecati voluptatibus eveniet itaque.;F;Cañada Primitiva Cuevas 38 Apt. 61 , Córdoba, 14022;26046;Cantabria;Ávila;Palencia;La Rioja;Venezuela;30/3/99;62;Congo;+34 876 592 286;+34921 90 88 97;walter89@example.com;Granados;Calderon;Loida;077-71-5026;Nuñez;Llabrés;Octavio;Mujer;+34638 52 80 39;olivernando@example.net;279-03-6933;Mayol;Villar;Esteban;Hombre;34800515508;silvacipriano@example.com;40;123456789
Odalys Ferrán Martinez;Odalys;29258206;85309604M;710348;Quinto;B;Denegado;2024;21/6/24;2;Quam veritatis totam veritatis modi.;M;Pasaje de Ángeles Lladó 286, Guipúzcoa, 45995;46141;Barcelona;Teruel;Huesca;Cádiz;Saint Kitts y Nevis;30/6/99;68;Mauritania;+34879 229 000;+34 983100798;uuria@example.net;Ferrán;Martinez;Odalys;114-86-1648;Cuenca;León;Mar;Hombre;+34 972 93 87 13;murjuliana@example.org;822-89-8137;Campo;Enríquez;Cándida;Hombre;+34875 171 728;paulinamendez@example.net;97;123456789
Silvio Guzman Cadenas;Silvio;25226679;70029277G;775815;Quinto;A;Matriculado;2024;11/1/24;2;Labore quidem blanditiis.;U;Rambla Eusebia Vilar 57 Piso 5 , Soria, 43401;19002;Salamanca;Salamanca;Santa Cruz de Tenerife;Álava;Islas Salomón;22/3/82;11;Ghana;34827347585;+34943 405 738;salud77@example.org;Guzman;Cadenas;Silvio;127-01-6644;Rozas;Amor;Joaquín;Mujer;+34 871 10 55 77;valverdeaurelio@example.com;177-51-3403;Duran;Lillo;Luisina;Hombre;+34880 73 70 31;azaharamontalban@example.com;73;123456789
Cayetano Perales Vara;Cayetano;82833172;96108541M;217887;Tercero;D;En trámite;2024;8/1/24;1;Provident nulla laborum consequatur.;U;Callejón de Gabino Rios 4, Córdoba, 04971;43652;Santa Cruz de Tenerife;Soria;Castellón;Teruel;República de Corea;5/2/19;57;México;34702353113;+34986 550 738;teo02@example.com;Perales;Vara;Cayetano;139-93-5416;Carbonell;Bertrán;Gastón;Mujer;+34927 15 14 84;opalomares@example.net;515-62-3389;Vendrell;Garmendia;Alondra;Hombre;34983850562;mansoamerico@example.com;60;123456789
Dionisio Llabrés Guitart;Dionisio;28451836;89877591P;945514;Primero;A;Denegado;2024;19/5/24;1;Repellendus fugiat ex commodi ut beatae sint.;F;Paseo de Juanito Arellano 2 Piso 0 , Melilla, 45023;36651;Ávila;Asturias;Palencia;Cantabria;Noruega;19/2/70;22;República Democrática del Congo;+34713 482 201;+34 948 753 567;fcalvo@example.org;Llabrés;Guitart;Dionisio;784-47-4203;Bayona;Merino;Alfonso;Hombre;+34 879 364 194;febe99@example.net;767-99-7613;Gimenez;Calderon;Noa;Mujer;+34 728 331 270;ruanogenoveva@example.com;56;123456789
Estrella Palacio Rincón;Estrella;15941230;93504362R;289313;Segundo;E;No matriculado;2024;24/3/24;2;Dicta autem sit alias similique.;F;Paseo de José Luis Camino 120 Puerta 9 , Almería, 47842;09216;Zaragoza;Vizcaya;Guadalajara;Álava;Guinea Ecuatorial;1/8/74;59;República de Corea;+34922 04 21 79;+34923 74 20 16;eloysolsona@example.org;Palacio;Rincón;Estrella;669-88-9133;Miró;Montoya;Íngrid;Hombre;+34826 577 411;aurelio94@example.org;012-95-4028;Barral;Mendez;Alba;Hombre;+34845 241 184;bermudezsebastian@example.net;91;123456789
Américo Higueras Bilbao;Américo;88464727;84443220P;868720;Primero;D;En trámite;2024;10/7/24;1;Placeat nobis officia velit aperiam.;U;Calle Isa Valderrama 7 Piso 7 , Ceuta, 35226;29912;Madrid;Tarragona;Baleares;Álava;Belice;21/2/74;34;Serbia;34841459148;+34807 85 87 95;velazquezlucas@example.com;Higueras;Bilbao;Américo;560-82-0182;Nicolás;Arellano;Maxi;Mujer;+34880 889 796;manuelhilario@example.net;277-18-7427;Montalbán;Gual;Eric;Mujer;+34985 318 634;pablo23@example.org;85;123456789
Feliciano Morales Castells;Feliciano;37309784;35881628H;820487;Tercero;E;En trámite;2024;3/3/24;3;Ipsam eum doloribus atque eaque.;M;Acceso Jesús Ayala 631 Puerta 0 , Girona, 10798;18214;Lugo;Granada;Alicante;Álava;Egipto;19/1/15;65;Liberia;+34927 24 79 15;+34 957 309 692;borrelltrinidad@example.org;Morales;Castells;Feliciano;360-54-2032;Ramis;Infante;Miguela;Mujer;+34943 99 91 51;mirtabastida@example.net;690-31-0910;Barbero;Gonzalo;Fanny;Mujer;+34 718746932;aurelia33@example.net;10;123456789
Cristina Quintero Trillo;Cristina;37822828;25511555R;155795;Tercero;C;Denegado;2024;21/6/24;3;In mollitia sit necessitatibus.;M;Plaza Mateo Mármol 82, Melilla, 06932;44487;Lleida;Asturias;Valladolid;Girona;Estados Unidos de América;29/4/85;76;China;+34922 585 138;+34 874167048;amariscal@example.org;Quintero;Trillo;Cristina;016-41-9822;Mendoza;Hierro;Josué;Mujer;+34 928 928 688;umari@example.com;119-72-8993;Rivero;Esteve;Elena;Mujer;+34900 60 08 54;jbeltran@example.net;69;123456789
Leonardo Serrano Hernández;Leonardo;90457138;78258887F;745529;Primero;D;Matriculado;2024;18/8/24;3;Molestiae animi ut cumque quo optio dolore.;M;Pasadizo de Jose Francisco Andrés 55, Santa Cruz de Tenerife, 09443;30773;La Coruña;Pontevedra;Alicante;Ávila;Rumania;13/4/89;89;Jamaica;+34 949 85 38 41;+34 807278838;maria-angelesbenavente@example.net;Serrano;Hernández;Leonardo;963-74-2098;Escalona;Avilés;Flavio;Hombre;+34 827 122 592;acarmona@example.org;065-31-3040;Sánchez;Benet;Victorino;Hombre;+34948 28 48 73;blanca82@example.net;14;123456789
Modesto Castellanos España;Modesto;66890534;98027993S;743991;Quinto;C;Denegado;2024;2/6/24;1;Reiciendis magni ea illum unde.;F;Camino de Jose Francisco Chaves 1, Alicante, 05620;35174;Sevilla;Álava;Córdoba;Guipúzcoa;Kirguistán;28/4/23;56;Vanuatu;+34 811 148 091;+34 845 070 395;gotero@example.net;Castellanos;España;Modesto;029-02-4952;Martinez;Olivares;Bernardita;Mujer;+34948 866 682;priegofebe@example.net;742-96-8691;Villa;Polo;Corona;Mujer;+34 822355650;baltasarmenendez@example.com;45;123456789
Jose Luis Pera Pino;Jose Luis;26171164;44622187W;623973;Primero;B;Denegado;2024;30/9/24;2;Officiis repudiandae cum.;U;Avenida Gracia Conesa 2 Apt. 11 , Tarragona, 01559;41173;Huesca;La Coruña;Soria;Ceuta;Nicaragua;2/1/08;14;Emiratos Árabes Unidos;+34 980 790 047;+34979 67 42 81;zorrillacharo@example.org;Pera;Pino;Jose Luis;314-42-4622;Santamaria;Cárdenas;Ágata;Hombre;+34848 77 40 91;miguelhurtado@example.com;554-43-7951;Cabeza;Sancho;Patricia;Hombre;+34 842 633 999;rinconbrigida@example.org;49;123456789
Morena Torrecilla Benavent;Morena;17366695;99746741L;955286;Tercero;B;Solicitado;2024;11/7/24;3;Pariatur adipisci dolore eveniet aut architecto.;U;Plaza de Anna Hervás 90, Huelva, 34879;34556;Soria;Burgos;Ceuta;Murcia;Austria;16/4/84;2;Chipre;+34 872131587;+34933 555 623;nogueraonofre@example.org;Torrecilla;Benavent;Morena;753-18-8395;Pastor;Godoy;Joel;Mujer;+34985 968 306;ncollado@example.net;503-27-1428;Villalobos;Cano;Mariano;Hombre;+34884 095 323;amelia38@example.net;39;123456789
Eli Caro Sanabria;Eli;14226086;92408653N;353868;Segundo;E;Matriculado;2024;18/2/24;1;Sint quaerat officia. Quo porro id.;M;Pasaje Segismundo Ros 12 Apt. 62 , Teruel, 07887;16487;Ourense;Navarra;Lugo;Jaén;Ucrania;25/10/10;70;Mali;+34 987 47 92 55;+34 834790604;constanza20@example.net;Caro;Sanabria;Eli;197-26-1552;Boix;Sanz;Pepita;Hombre;+34923 13 84 79;xleon@example.net;621-64-2246;Tello;Cobos;Alejandro;Mujer;+34 982 94 11 13;jpatino@example.com;49;123456789
Lourdes Sanabria Abella;Lourdes;4640940;17147572Z;443209;Tercero;D;Solicitado;2024;12/9/24;1;Tenetur unde nihil quam quaerat molestiae non.;M;Via de Heliodoro Barrio 2, Baleares, 36682;38270;Alicante;Murcia;Ávila;León;Indonesia;9/5/23;31;Bangladesh;+34945 46 88 64;+34 971622752;ramon27@example.com;Sanabria;Abella;Lourdes;070-99-9415;Hoz;Canales;Alonso;Mujer;34741554171;marcialortega@example.org;823-80-1290;Porras;Santamaria;Obdulia;Mujer;34947576855;kperalta@example.net;36;123456789
Prudencio Oliver Artigas;Prudencio;48200644;18560973L;611732;Segundo;B;En trámite;2024;26/2/24;2;Unde a ut ipsum. Illo doloremque ullam quidem.;M;Cuesta de Juan Manuel Ramírez 842 Piso 1 , Alicante, 27746;27220;Ourense;Almería;Tarragona;Barcelona;Lesotho;6/2/05;1;Sudán del Sur;+34888 07 87 06;+34 911 36 97 10;mvizcaino@example.com;Oliver;Artigas;Prudencio;908-65-5225;Lorenzo;Ramos;Diana;Mujer;+34926 70 43 22;loidamurcia@example.com;374-14-8597;Abad;Llobet;Roberto;Hombre;+34 921819004;nataliasegura@example.com;99;123456789
Clotilde Barco Collado;Clotilde;33698191;94156123B;693305;Tercero;B;Solicitado;2024;6/4/24;3;Possimus omnis molestias vitae atque.;M;Avenida Felipe Arévalo 662, Valencia, 33501;36440;Navarra;Ourense;Granada;Murcia;Pakistán;8/1/70;59;Estonia;+34947 84 90 17;34844609774;baltasar66@example.com;Barco;Collado;Clotilde;493-80-9150;Alsina;Coello;José;Hombre;+34 976 820 626;veronica84@example.com;840-48-7483;Sastre;Sales;Manuel;Hombre;+34 976334895;abellannarciso@example.com;41;123456789
Daniela Mancebo Gibert;Daniela;6701164;33296019T;947264;Tercero;E;No matriculado;2024;11/7/24;3;Magni quas atque sapiente.;M;Pasaje de Feliciano Marí 3, Las Palmas, 48502;34910;Alicante;Palencia;Córdoba;La Coruña;Panamá;13/5/00;1;Gambia;+34947 24 82 04;+34 859 517 492;pelayocustodio@example.org;Mancebo;Gibert;Daniela;130-38-4161;Sans;Baeza;Soraya;Mujer;+34 927 576 139;gasconclemente@example.net;240-34-5477;Fernandez;Serra;Mauricio;Mujer;+34 839 51 63 93;sabatergaspar@example.org;6;123456789
Isaías Pardo Sevillano;Isaías;9590578;12328612Z;526754;Tercero;A;Solicitado;2024;4/2/24;1;Quisquam nemo voluptatum magni quo illo.;U;Cuesta Marina Losada 849 Puerta 8 , Girona, 50252;21559;Baleares;Tarragona;Guipúzcoa;Asturias;Grecia;14/1/89;59;Austria;+34 807 639 310;34883770711;valero62@example.net;Pardo;Sevillano;Isaías;089-16-6413;Barroso;Sanjuan;Amando;Hombre;+34 843945907;chelopaz@example.com;557-67-0393;Galán;Machado;Prudencio;Mujer;34982779643;correamontserrat@example.net;56;123456789
Pascuala Esteban Andrés;Pascuala;65148901;77140474S;957289;Tercero;E;No matriculado;2024;14/9/24;2;Est possimus corporis quas delectus aliquid nam.;F;Pasaje Reinaldo Canet 54 Apt. 84 , Asturias, 10076;06048;Murcia;Lleida;Ávila;Teruel;República de Macedonia del Norte;6/6/73;88;Kirguistán;+34 924135039;34900705760;duenascleto@example.org;Esteban;Andrés;Pascuala;650-33-4102;Arregui;Calzada;María Teresa;Mujer;+34 867898094;jose-ramonmiralles@example.com;621-74-2593;Farré;Bueno;Eutimio;Mujer;+34942 485 777;belenabellan@example.com;12;123456789
Lucila Verdú Carnero;Lucila;86619180;78155813L;243518;Primero;E;Matriculado;2024;5/4/24;3;Nulla pariatur maiores quidem dolores earum fuga.;F;Ronda de Francisco Alemany 52, Murcia, 20798;03843;Baleares;Córdoba;Palencia;Badajoz;Guinea Bissau;19/5/99;85;Montenegro;+34887 212 139;+34 981 784 847;victor-manuellarrea@example.org;Verdú;Carnero;Lucila;842-20-7493;Fernandez;Vigil;Alicia;Hombre;34980651143;jose-antonioaleman@example.net;024-85-6836;Martínez;Morante;Rosario;Mujer;34828807408;javierbenitez@example.org;34;123456789
Prudencio Escudero Villar;Prudencio;81289399;79964205J;990663;Tercero;B;En trámite;2024;27/2/24;3;Quisquam deserunt ratione dolores. Aut animi eum.;M;Vial Maricruz Farré 776 Apt. 09 , Asturias, 33064;13645;Zaragoza;Burgos;Cádiz;Asturias;Afganistán;15/2/16;68;Djibouti;+34 978133613;+34 975 990 432;jllano@example.net;Escudero;Villar;Prudencio;860-89-6943;Agustí;Cervera;Adela;Mujer;+34887 438 942;severo99@example.net;292-08-2169;Villalba;Vall;Isaura;Mujer;+34 973741564;borjaosvaldo@example.com;8;123456789
Celia Borja Duran;Celia;20516669;16103891G;515965;Tercero;D;Matriculado;2024;16/8/24;1;Asperiores molestiae quidem delectus.;M;Pasadizo de Eloy Páez 84 Puerta 7 , Murcia, 27618;05843;Cantabria;Soria;Barcelona;Vizcaya;Camerún;23/1/05;75;Vietman;34944200360;+34 726 66 71 45;rvara@example.net;Borja;Duran;Celia;473-32-2928;Burgos;Perelló;Lucía;Hombre;+34866 535 342;pgras@example.com;069-34-1447;Garcia;Lago;María Fernanda;Mujer;+34 841 441 605;galvezjacobo@example.org;89;123456789
Carmina Patiño Paredes;Carmina;62628605;44283462K;187450;Tercero;A;Denegado;2024;10/7/24;3;Fuga harum minus.;U;Glorieta de Rufina Rodriguez 66 Apt. 41 , Zaragoza, 50317;34394;Madrid;Málaga;Jaén;Guadalajara;Jamaica;11/11/87;77;Islandia;+34 967355707;34884172944;felicia28@example.com;Patiño;Paredes;Carmina;878-93-2607;Alcázar;Palma;Ceferino;Mujer;34981863178;allermoises@example.net;590-10-3095;Bustos;Colomer;Alondra;Mujer;+34 875745625;armida53@example.org;68;123456789
Alma Gárate González;Alma;25795433;89001911F;211834;Cuarto;B;Matriculado;2024;11/2/24;2;Harum vitae pariatur corporis illo.;F;Pasaje de Luciano Arco 96, Toledo, 07513;30086;Navarra;Cádiz;Cantabria;Valencia;Maldivas;8/12/82;65;Vanuatu;+34 844 57 30 28;34844604142;agueda52@example.com;Gárate;González;Alma;472-42-7699;Olmo;Bueno;Marisela;Hombre;+34921 473 909;carmeloamor@example.org;382-05-6541;Peña;Palacio;Arsenio;Mujer;34941293878;maximinocamara@example.org;35;123456789
Chus Valle Donaire;Chus;51772445;08307814F;839135;Quinto;D;No matriculado;2024;15/3/24;2;Aperiam provident nobis pariatur.;F;Ronda Humberto Amigó 6 Puerta 0 , Castellón, 47650;24614;Girona;Soria;La Rioja;Córdoba;Egipto;11/6/94;86;Túnez;+34 877428991;+34944 808 786;yalberto@example.org;Valle;Donaire;Chus;654-53-6789;Segura;Cabrera;Adalberto;Hombre;+34 920 65 75 55;feliciabertran@example.org;954-44-7249;Farré;Cano;Desiderio;Mujer;+34 803868330;arenasyaiza@example.com;8;123456789
Aurelio Barco Baena;Aurelio;28129491;69862494V;27526;Cuarto;D;No matriculado;2024;27/5/24;2;Eos eum iste nobis. Amet quod consectetur maxime.;M;Rambla de Mirta Ugarte 94, Baleares, 31486;10726;Lugo;Toledo;Granada;Huesca;Bulgaria;30/4/82;69;Alemania;34923253857;+34822 03 89 64;adanbeatriz@example.com;Barco;Baena;Aurelio;706-54-8621;Boada;Abella;Gertrudis;Mujer;+34842 94 28 82;leoncio96@example.com;049-29-6863;Pastor;Benitez;Reinaldo;Mujer;34971810083;jose-luiscalderon@example.com;76;123456789
Severiano Cisneros Torre;Severiano;98411504;85460831F;681372;Cuarto;E;No matriculado;2024;14/2/24;1;Ipsa corrupti nesciunt.;M;Paseo de Germán Mate 18, Sevilla, 17815;42875;Badajoz;Lleida;Huesca;Melilla;Mozambique;16/4/14;20;Suiza;34851723411;+34 879 388 521;boschgraciela@example.net;Cisneros;Torre;Severiano;847-89-6688;Granados;Castelló;Liliana;Mujer;34853698237;ppinol@example.org;519-92-1877;Sevilla;Calvet;Leoncio;Mujer;+34825 089 452;demetrioroig@example.com;52;123456789
Francisco Rodrigo Martorell;Francisco;25358885;78894880G;118507;Tercero;B;Solicitado;2024;25/9/24;1;Atque deserunt nulla dignissimos veniam.;M;Cañada Lara Vendrell 94, Segovia, 49282;35407;Álava;Sevilla;Lugo;Baleares;Bahamas;20/5/03;39;Ghana;+34986 59 93 92;34980353221;blancamarta@example.org;Rodrigo;Martorell;Francisco;364-50-3706;Zurita;Valentín;Erasmo;Mujer;34838470063;edelmirodaza@example.org;600-45-5167;Morante;Angulo;Vicenta;Mujer;+34927 22 84 82;miguelmiguel@example.org;56;123456789
Tere Bastida Jimenez;Tere;62071248;73478073L;203142;Cuarto;B;No matriculado;2024;9/7/24;1;Sint sit eveniet animi.;U;Avenida Amanda Gras 13 Puerta 1 , Murcia, 21334;08644;Lleida;Teruel;La Rioja;Vizcaya;República Árabe Siria;24/12/75;3;República Popular Democrática de Corea;34884624393;34979628643;vaqueroalejandro@example.com;Bastida;Jimenez;Tere;163-55-5108;Sancho;López;Máxima;Hombre;+34823 735 916;jsarabia@example.org;901-79-6645;Llorente;Cabrero;Olalla;Mujer;34882152394;vpalacios@example.com;51;123456789
Vito Santamaria Baquero;Vito;27143942;62172653L;386936;Tercero;B;No matriculado;2024;15/5/24;2;Eos beatae excepturi. Veritatis corrupti odio.;U;Pasaje de Catalina Cadenas 1, León, 51327;14856;Girona;Murcia;Santa Cruz de Tenerife;León;Djibouti;4/5/80;23;Croacia;+34 981616049;+34 807 92 09 94;kalfonso@example.org;Santamaria;Baquero;Vito;031-18-5845;Galan;Pozuelo;Jordán;Mujer;+34 820 69 38 00;aurearodenas@example.net;648-86-5654;Meléndez;Arrieta;Jafet;Hombre;+34 878 956 567;arenasteresita@example.org;43;123456789
Alberto Moll Monreal;Alberto;64281914;22567991T;238066;Segundo;D;No matriculado;2024;4/9/24;1;Accusamus cum magni sapiente saepe.;M;Glorieta de Leandro Nieto 80, La Rioja, 02738;40632;Ávila;Toledo;Barcelona;Pontevedra;Reino Unido de Gran Bretaña e Irlanda del Norte;5/6/75;95;Timor-Leste;+34 976 72 83 62;+34 983820261;azorinpaola@example.net;Moll;Monreal;Alberto;368-57-9187;Ponce;Ángel;Vicenta;Mujer;+34981 73 55 69;talaverarocio@example.org;860-71-2299;Barrios;Escamilla;Pía;Mujer;+34 843 586 049;gironaesther@example.com;17;123456789
